Name,Team,Batting_Hand,Matches,Innings,Runs,Highest,Average,BF,SR,100,4,6
Kuldip Yadav,Rajasthan Royals,Right,0,0,0,0,0,0,0,0,0,0
Harishankar Reddy,Chennai Super Kings,Right,0,0,0,0,0,0,0,0,0,0
Dawid Malan,Punjab Kings,Left,0,0,0,0,0,0,0,0,0,0
Virat Singh,Sunrisers Hyderabad,Left,0,0,0,0,0,0,0,0,0,0
Pavan Deshpande,Royal Challengers Bangalore,Left,0,0,0,0,0,0,0,0,0,0
Suyash Prabhudessai,Royal Challengers Bangalore,Right,0,0,0,0,0,0,0,0,0,0
Shahbaz Ahmed,Royal Challengers Bangalore,Left,2,1,1,1,0,1,100,0,0,0
Daniel Sams,Royal Challengers Bangalore,Right,3,1,0,0,0,2,0,0,0,0
Rajat Patidar,Royal Challengers Bangalore,Right,0,0,0,0,0,0,0,0,0,0
Chetan Sakariya,Rajasthan Royals,Left,0,0,0,0,0,0,0,0,0,0
Anmolpreet Singh,Mumbai Indians,Right,0,0,0,0,0,0,0,0,0,0
Khaleel Ahmed,Sunrisers Hyderabad,Right,17,2,0,0,0,3,0,0,0,0
Mohammed Azharuddeen,Royal Challengers Bangalore,Right,0,0,0,0,0,0,0,0,0,0
Srikar Bharat,Royal Challengers Bangalore,Right,0,0,0,0,0,0,0,0,0,0
Praveen Dubey,Delhi Capitals,Right,3,1,7,7,0,13,53.85,0,0,0
Ishan Porel,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Anuj Rawat,Rajasthan Royals,Left,0,0,0,0,0,0,0,0,0,0
Yudhvir Singh,Mumbai Indians,Right,0,0,0,0,0,0,0,0,0,0
Darshan Nalkande,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Manimaran Siddharth,Delhi Capitals,Right,0,0,0,0,0,0,0,0,0,0
Lukman Meriwala,Delhi Capitals,Left,0,0,0,0,0,0,0,0,0,0
Ripal Patel,Delhi Capitals,Right,0,0,0,0,0,0,0,0,0,0
Riley Meredith,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Bhagath Varma,Chennai Super Kings,Right,0,0,0,0,0,0,0,0,0,0
Utkarsh Singh,Punjab Kings,Left,0,0,0,0,0,0,0,0,0,0
Lalit Yadav,Delhi Capitals,Right,0,0,0,0,0,0,0,0,0,0
Tim Seifert,Kolkata Knight Riders,Right,0,0,0,0,0,0,0,0,0,0
Mohsin Khan,Mumbai Indians,Left,0,0,0,0,0,0,0,0,0,0
Lockie Ferguson,Kolkata Knight Riders,Right,14,3,44,24,0,30,146.67,0,4,1
Harpreet Brar,Punjab Kings,Left,3,1,20,20,0,12,166.67,0,2,1
Sandeep Warrier,Kolkata Knight Riders,Right,4,0,0,0,0,0,0,0,0,0
Avesh Khan,Delhi Capitals,Right,9,1,4,4,0,3,133.33,0,1,0
Jalaj Saxena,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Fabian Allen,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Jhye Richardson,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Shahrukh Khan,Punjab Kings,Right,0,0,0,0,0,0,0,0,0,0
Saurabh Kumar,Punjab Kings,Left,0,0,0,0,0,0,0,0,0,0
Vaibhav Arora,Kolkata Knight Riders,Right,0,0,0,0,0,0,0,0,0,0
Venkatesh Iyer,Kolkata Knight Riders,Left,0,0,0,0,0,0,0,0,0,0
Arshdeep Singh,Punjab Kings,Left,11,1,0,0,0,3,0,0,0,0
